true_rate,KG-DAP,rMAP,Uniform,EqualWeight
0.05,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.15000000000000002,0.0,0.0,0.0,0.0
0.2,0.001,0.0002,0.0002,0.0002
0.25,0.047,0.0316,0.0316,0.0316
0.30000000000000004,0.3088,0.2336,0.2336,0.2336
0.35000000000000003,0.7316,0.6554,0.6554,0.6554
0.4,0.9536,0.9264,0.9264,0.9264
0.45,0.9952,0.9926,0.9926,0.9926
0.5,1.0,0.9998,0.9998,0.9998
0.55,1.0,1.0,1.0,1.0
0.6000000000000001,1.0,1.0,1.0,1.0
0.65,1.0,1.0,1.0,1.0
0.7000000000000001,1.0,1.0,1.0,1.0
0.75,1.0,1.0,1.0,1.0
0.8,1.0,1.0,1.0,1.0
