scenario,method,MAE,MAE_SE,RMSE,Mean_ESS,N_reps
Favorable,KG-DAP,0.1257988601970265,7.408172338228354e-05,0.12582067130885252,5.440696453221406,1000
Favorable,rMAP,0.16968331835805445,3.9827800129822034e-05,0.16968799245280744,5.54156627093407,1000
Favorable,Uniform,0.16079531436370478,0.0,0.16079531436370478,2.0000000000000004,1000
Favorable,Pooled,0.17997717487951753,3.97921389488149e-05,0.1799815737566892,9075.14285714287,1000
Favorable,EqualWeight,0.16666857472443655,2.8719569845081076e-05,0.1666710491188172,4.10765555964177,1000
Favorable,KG-DAP_vs_rMAP_CI,-0.04388445816102795,0.0,-0.044001693152862044,-0.043770621717169285,1000
Adverse,KG-DAP,0.16922320859161777,4.999291996740571e-05,0.16923059303237417,4.246871789666977,1000
Adverse,rMAP,0.16794858876130758,3.592282030593639e-05,0.16795243051511205,6.727970914466761,1000
Adverse,Uniform,0.16079531436370467,2.633125101432526e-18,0.16079531436370478,2.0000000000000004,1000
Adverse,Pooled,0.16323730509229886,1.3445116542471136e-05,0.16323785879799788,9075.142857142951,1000
Adverse,EqualWeight,0.16650303970964794,2.9513389157932428e-05,0.16650565537750417,4.133415947062805,1000
Adverse,KG-DAP_vs_rMAP_CI,0.0012746198303101991,0.0,0.0011755662169687679,0.0013746872070672532,1000
Mixed,KG-DAP,0.15597534579509556,6.0858757088316144e-05,0.15598721833603535,4.531403812941163,1000
Mixed,rMAP,0.18604520819594195,2.555906667440514e-05,0.18604696385203562,5.277085847446904,1000
Mixed,Uniform,0.18192890039612472,0.0,0.1819289003961247,2.0000000000000004,1000
Mixed,Pooled,0.1942083387507791,3.041606054813912e-05,0.19421072055135535,9075.142857142851,1000
Mixed,EqualWeight,0.1849364777791788,1.3109566608399317e-05,0.18493694242661562,3.5037572395923027,1000
Mixed,KG-DAP_vs_rMAP_CI,-0.030069862400846383,0.0,-0.030187051290392734,-0.029952934338310425,1000
