true_pC,delta,kg_rate,rm_rate,diff,kg_rate_std,threshold,n_C,power_k,top_m
0.1,0.0,0.038811428571428566,0.0383,0.0005114285714285655,0.0028868936769546626,0.9,50,1,10
0.1,0.05,0.1754085714285714,0.1798,-0.004391428571428574,0.008492092840774089,0.9,50,1,10
0.1,0.1,0.40994,0.4257,-0.015759999999999996,0.020997812130927218,0.9,50,1,10
0.1,0.15,0.6605942857142858,0.6763,-0.015705714285714212,0.025471518467912818,0.9,50,1,10
0.1,0.2,0.8419342857142857,0.8506,-0.008665714285714277,0.017467634443771293,0.9,50,1,10
0.15,0.0,0.052122857142857144,0.0564,-0.004277142857142854,0.005629822921056131,0.9,50,1,10
0.15,0.05,0.17728857142857143,0.1869,-0.009611428571428576,0.01901194769354368,0.9,50,1,10
0.15,0.1,0.37965142857142864,0.3869,-0.007248571428571382,0.0271924188114321,0.9,50,1,10
0.15,0.15,0.6120571428571429,0.6142,-0.002142857142857113,0.02344506388151168,0.9,50,1,10
0.15,0.2,0.8029228571428573,0.8038,-0.0008771428571426876,0.015418784197285113,0.9,50,1,10
0.2,0.0,0.06136285714285714,0.0639,-0.002537142857142856,0.00961947684096581,0.9,50,1,10
0.2,0.05,0.17851714285714287,0.18,-0.0014828571428571191,0.017634762515542753,0.9,50,1,10
0.2,0.1,0.3684285714285715,0.3678,0.0006285714285714783,0.020226398188344593,0.9,50,1,10
0.2,0.15,0.5891914285714285,0.5907,-0.0015085714285715257,0.018757053856822897,0.9,50,1,10
0.2,0.2,0.7749628571428572,0.779,-0.00403714285714285,0.015631471655683894,0.9,50,1,10
0.25,0.0,0.06846285714285714,0.0676,0.0008628571428571513,0.007781629859181564,0.9,50,1,10
0.25,0.05,0.18325428571428568,0.1842,-0.0009457142857143275,0.01271804888129224,0.9,50,1,10
0.25,0.1,0.36266571428571437,0.3678,-0.005134285714285647,0.01951191493651497,0.9,50,1,10
0.25,0.15,0.5750285714285714,0.5837,-0.008671428571428552,0.024244440557768775,0.9,50,1,10
0.25,0.2,0.7656342857142857,0.7743,-0.008665714285714277,0.022193151361330793,0.9,50,1,10
0.3,0.0,0.0746657142857143,0.0761,-0.0014342857142857074,0.0064907821609744756,0.9,50,1,10
0.3,0.05,0.18909428571428574,0.1946,-0.005505714285714253,0.015472666089538914,0.9,50,1,10
0.3,0.1,0.3633828571428571,0.3729,-0.00951714285714289,0.02455292226674322,0.9,50,1,10
0.3,0.15,0.5713828571428571,0.5826,-0.011217142857142925,0.02788944998396641,0.9,50,1,10
0.3,0.2,0.7550657142857143,0.7634,-0.008334285714285627,0.0208944550793081,0.9,50,1,10
0.35,0.0,0.08236285714285715,0.0859,-0.00353714285714285,0.00920195897510915,0.9,50,1,10
0.35,0.05,0.19486,0.202,-0.0071400000000000075,0.017818693234113118,0.9,50,1,10
0.35,0.1,0.3672714285714285,0.3768,-0.009528571428571497,0.024574767215041322,0.9,50,1,10
0.35,0.15,0.5707028571428572,0.5806,-0.009897142857142827,0.026122125112788264,0.9,50,1,10
0.35,0.2,0.7607,0.7667,-0.006000000000000005,0.01829148123346728,0.9,50,1,10
0.4,0.0,0.0886342857142857,0.0925,-0.0038657142857143056,0.009891119909354273,0.9,50,1,10
0.4,0.05,0.20146285714285714,0.2074,-0.005937142857142863,0.016660596554476083,0.9,50,1,10
0.4,0.1,0.37065714285714285,0.3767,-0.006042857142857128,0.021793856089854916,0.9,50,1,10
0.4,0.15,0.5715771428571429,0.5754,-0.003822857142857128,0.02138905041255971,0.9,50,1,10
0.4,0.2,0.7669342857142858,0.7669,3.4285714285764435e-05,0.015735055365232703,0.9,50,1,10
0.5,0.0,0.09804,0.0976,0.00043999999999999595,0.00838976246896861,0.9,50,1,10
0.5,0.05,0.2200514285714286,0.2174,0.0026514285714285823,0.017022361283719402,0.9,50,1,10
0.5,0.1,0.4016828571428571,0.3991,0.002582857142857109,0.024555784721024626,0.9,50,1,10
0.5,0.15,0.60482,0.6065,-0.0016800000000000148,0.026637340064546332,0.9,50,1,10
0.5,0.2,0.7971857142857143,0.8052,-0.008014285714285752,0.02035714185463657,0.9,50,1,10
0.6,0.0,0.11457714285714284,0.1173,-0.0027228571428571657,0.01338737327728282,0.9,50,1,10
0.6,0.05,0.24292857142857147,0.254,-0.011071428571428538,0.022307866279839127,0.9,50,1,10
0.6,0.1,0.4436228571428572,0.4571,-0.013477142857142799,0.02736091148976987,0.9,50,1,10
0.6,0.15,0.6713514285714286,0.6806,-0.009248571428571384,0.023702481743824343,0.9,50,1,10
0.6,0.2,0.8530028571428571,0.8545,-0.0014971428571429746,0.014472406961708418,0.9,50,1,10
0.65,0.0,0.11850285714285713,0.1249,-0.006397142857142865,0.012531229234294974,0.9,50,1,10
0.65,0.05,0.25743428571428567,0.2629,-0.0054657142857143515,0.018786590093652945,0.9,50,1,10
0.65,0.1,0.47308285714285714,0.4768,-0.0037171428571428633,0.024699976699980752,0.9,50,1,10
0.65,0.15,0.7143371428571429,0.7145,-0.00016285714285713127,0.02004557786237988,0.9,50,1,10
0.65,0.2,0.8922857142857142,0.8923,-1.4285714285744433e-05,0.011083169811079516,0.9,50,1,10
0.7,0.0,0.12554285714285715,0.1261,-0.0005571428571428394,0.01127123483447477,0.9,50,1,10
0.7,0.05,0.2787028571428571,0.2777,0.0010028571428570832,0.020500543347702294,0.9,50,1,10
0.7,0.1,0.5200571428571428,0.5184,0.0016571428571428015,0.024851815521081698,0.9,50,1,10
0.7,0.15,0.7707057142857143,0.7689,0.0018057142857142994,0.019997198987531706,0.9,50,1,10
0.7,0.2,0.9381314285714286,0.9377,0.0004314285714286381,0.008415623953731072,0.9,50,1,10
0.75,0.0,0.13518285714285716,0.134,0.0011828571428571522,0.013549686041998707,0.9,50,1,10
0.75,0.05,0.3074571428571429,0.3053,0.0021571428571428575,0.02052774130939169,0.9,50,1,10
0.75,0.1,0.5794628571428571,0.577,0.0024628571428571,0.02373261873112056,0.9,50,1,10
0.75,0.15,0.8447942857142857,0.8443,0.0004942857142856694,0.014993902434125737,0.9,50,1,10
0.75,0.2,0.9795085714285713,0.981,-0.001491428571428699,0.002608817074961791,0.9,50,1,10
0.8,0.0,0.14470285714285716,0.1421,0.0026028571428571567,0.01318079741169567,0.9,50,1,10
0.8,0.05,0.34762000000000004,0.3459,0.0017200000000000548,0.022123146250025108,0.9,50,1,10
0.8,0.1,0.6664857142857143,0.6716,-0.005114285714285627,0.022030227842115235,0.9,50,1,10
0.8,0.15,0.9232400000000001,0.9276,-0.0043599999999999195,0.006804544699789164,0.9,50,1,10
0.8,0.2,0.9998999999999997,0.9999,-3.3306690738754696e-16,3.3306690738754696e-16,0.9,50,1,10
0.85,0.0,0.16118571428571427,0.1636,-0.00241428571428573,0.013678703841209157,0.9,50,1,10
0.85,0.05,0.41311714285714285,0.424,-0.010882857142857139,0.020798646737767552,0.9,50,1,10
0.85,0.1,0.7891400000000001,0.7977,-0.008559999999999901,0.010797915142682475,0.9,50,1,10
0.85,0.15,0.9991,0.9991,0.0,0.0,0.9,50,1,10
0.85,0.2,0.9988000000000001,0.9988,1.1102230246251565e-16,1.1102230246251565e-16,0.9,50,1,10
